/v.vds`V`float,id(irff130.dut_mos):_0`A`float,id(irff130.dut_mos):_1`A`float,id(irff130.dut_mos):_2`A`float,id(irff130.dut_mos):_3`A`float,id(irff130.dut_mos):_4`A`float,id(irff130.dut_mos):_5`A`float,id(irff130.dut_mos):_6`A`float,id(irff130.dut_mos):_7`A`float,id(irff130.dut_mos):_8`A`float,id(irff130.dut_mos):_9`A`float,id(irff130.dut_mos):_10`A`float,id(irff130.dut_mos):_11`A`float,id(irff130.dut_mos):_12`A`float,id(irff130.dut_mos):_13`A`float,id(irff130.dut_mos):_14`A`float,id(irff130.dut_mos):_15`A`float,id(irff130.dut_mos):_16`A`float,id(irff130.dut_mos):_17`A`float,id(irff130.dut_mos):_18`A`float,id(irff130.dut_mos):_19`A`float,id(irff130.dut_mos):_20`A`float,id(irff130.dut_mos):_21`A`float,id(irff130.dut_mos):_22`A`float,id(irff130.dut_mos):_23`A`float,id(irff130.dut_mos):_24`A`float,id(irff130.dut_mos):_25`A`float
-2,-4.8347e-12,-4.8347e-12,-4.8347e-12,-4.8347e-12,-4.8347e-12,-4.76618e-12,-4.27765e-12,-3.68673e-10,-6.43491e-08,-1.08392e-05,-0.00168346,-0.230673,-1.23587,-2.81197,-4.78644,-6.89108,-8.16463,-9.12159,-9.86221,-10.4549,-10.9354,-11.3352,-11.6705,-11.9584,-12.2055,-12.4225
-1.32,-3.19036e-12,-3.19036e-12,-3.19036e-12,-3.19036e-12,-3.19036e-12,-3.19036e-12,-3.13972e-12,-2.10606e-12,-6.47546e-11,-1.19456e-08,-2.3151e-06,-0.000288179,-0.0419404,-0.683284,-2.00504,-3.69612,-4.79599,-5.58226,-6.16978,-6.63177,-6.99767,-7.3006,-7.55037,-7.76218,-7.9442,-8.10086
-0.64,-1.54752e-12,-1.54752e-12,-1.54752e-12,-1.54752e-12,-1.54752e-12,-1.54752e-12,-1.54752e-12,-1.54752e-12,-1.44773e-12,-5.95624e-12,-6.47666e-10,-9.48926e-08,-1.27714e-05,-0.00209186,-0.221552,-1.12781,-1.89572,-2.39918,-2.76248,-3.03655,-3.24875,-3.42294,-3.56434,-3.68141,-3.78245,-3.86902
0.04,9.672e-14,9.672e-14,9.672e-14,9.672e-14,9.672e-14,9.672e-14,9.672e-14,9.672e-14,9.672e-14,9.70924e-14,1.69423e-13,8.31857e-12,1.17123e-09,1.66575e-07,1.62411e-05,0.00124535,0.0584302,0.112039,0.146919,0.169726,0.186341,0.201049,0.212668,0.222079,0.229469,0.235171
0.72,1.74115e-12,1.74115e-12,1.74115e-12,1.74115e-12,1.74115e-12,1.74115e-12,1.74115e-12,1.74115e-12,1.74115e-12,1.74264e-12,1.88562e-12,1.9735e-11,2.19277e-09,2.59318e-07,2.94312e-05,0.00312243,0.281506,1.22623,2.11511,2.70226,3.11654,3.42461,3.66793,3.86158,4.01918,4.15155
1.4,3.38399e-12,3.38399e-12,3.38399e-12,3.38399e-12,3.38399e-12,3.38399e-12,3.38399e-12,3.38399e-12,3.38399e-12,3.38399e-12,3.52996e-12,2.13763e-11,2.19488e-09,2.59357e-07,2.94355e-05,0.00312289,0.281544,1.23923,2.7459,4.33865,5.41884,6.18732,6.76342,7.21588,7.57648,7.87404
2.08,5.02832e-12,5.02832e-12,5.02832e-12,5.02832e-12,5.02832e-12,5.02832e-12,5.02832e-12,5.02832e-12,5.02832e-12,5.02832e-12,5.17131e-12,2.30207e-11,2.19585e-09,2.594e-07,2.944e-05,0.00312335,0.281581,1.23939,2.74621,4.69807,6.80049,8.31481,9.39822,10.2126,10.8518,11.3653
2.76,6.67266e-12,6.67266e-12,6.67266e-12,6.67266e-12,6.67266e-12,6.67266e-12,6.67266e-12,6.67266e-12,6.67266e-12,6.67266e-12,6.81564e-12,2.4665e-11,2.19737e-09,2.59438e-07,2.94441e-05,0.0031238,0.281619,1.23954,2.74652,4.69857,7.01633,9.51612,11.3876,12.7388,13.7719,14.5775
3.44,8.31699e-12,8.31699e-12,8.31699e-12,8.31699e-12,8.31699e-12,8.31699e-12,8.31699e-12,8.31699e-12,8.31699e-12,8.31699e-12,8.45998e-12,2.63093e-11,2.20029e-09,2.59475e-07,2.94485e-05,0.00312426,0.281658,1.23969,2.74682,4.69906,7.01701,9.65122,12.4567,14.6386,16.2226,17.4326
4.12,9.96133e-12,9.96133e-12,9.96133e-12,9.96133e-12,9.96133e-12,9.96133e-12,9.96133e-12,9.96133e-12,9.96133e-12,9.96133e-12,1.01043e-11,2.79537e-11,2.20046e-09,2.59516e-07,2.94529e-05,0.00312472,0.281695,1.23984,2.74713,4.69954,7.01769,9.65212,12.5577,15.6218,18.055,19.8342
