v1	V(n001)	I(D1)
-1.000000000000000e-001	-1.000000e-001	-2.242756e-009
-9.990000000000000e-002	-9.990000e-002	-2.242143e-009
-9.980000000000000e-002	-9.980000e-002	-2.241529e-009
-9.970000000000000e-002	-9.970000e-002	-2.240913e-009
-9.959999999999999e-002	-9.960000e-002	-2.240297e-009
-9.949999999999999e-002	-9.950000e-002	-2.239678e-009
-9.939999999999999e-002	-9.940000e-002	-2.239059e-009
-9.929999999999999e-002	-9.930000e-002	-2.238438e-009
-9.919999999999998e-002	-9.920000e-002	-2.237815e-009
-9.909999999999998e-002	-9.910000e-002	-2.237192e-009
-9.899999999999998e-002	-9.900000e-002	-2.236567e-009
-9.889999999999997e-002	-9.890000e-002	-2.235940e-009
-9.879999999999997e-002	-9.880000e-002	-2.235312e-009
-9.869999999999997e-002	-9.870000e-002	-2.234683e-009
-9.859999999999997e-002	-9.860000e-002	-2.234052e-009
-9.849999999999996e-002	-9.850000e-002	-2.233420e-009
-9.839999999999996e-002	-9.840000e-002	-2.232787e-009
-9.829999999999996e-002	-9.830000e-002	-2.232152e-009
-9.819999999999995e-002	-9.820000e-002	-2.231516e-009
-9.809999999999995e-002	-9.810000e-002	-2.230878e-009
-9.799999999999995e-002	-9.800000e-002	-2.230239e-009
-9.789999999999995e-002	-9.790000e-002	-2.229599e-009
-9.779999999999994e-002	-9.780000e-002	-2.228957e-009
-9.769999999999994e-002	-9.770000e-002	-2.228314e-009
-9.759999999999994e-002	-9.760000e-002	-2.227669e-009
-9.749999999999993e-002	-9.750000e-002	-2.227023e-009
-9.739999999999993e-002	-9.740000e-002	-2.226375e-009
-9.729999999999993e-002	-9.730000e-002	-2.225726e-009
-9.719999999999993e-002	-9.720000e-002	-2.225076e-009
-9.709999999999992e-002	-9.710000e-002	-2.224424e-009
-9.699999999999992e-002	-9.700000e-002	-2.223771e-009
-9.689999999999992e-002	-9.690000e-002	-2.223116e-009
-9.679999999999991e-002	-9.680000e-002	-2.222460e-009
-9.669999999999991e-002	-9.670000e-002	-2.221802e-009
-9.659999999999991e-002	-9.660000e-002	-2.221143e-009
-9.649999999999991e-002	-9.650000e-002	-2.220482e-009
-9.639999999999990e-002	-9.640000e-002	-2.219820e-009
-9.629999999999990e-002	-9.630000e-002	-2.219157e-009
-9.619999999999990e-002	-9.620000e-002	-2.218492e-009
-9.609999999999989e-002	-9.610000e-002	-2.217826e-009
-9.599999999999989e-002	-9.600000e-002	-2.217158e-009
-9.589999999999989e-002	-9.590000e-002	-2.216488e-009
-9.579999999999989e-002	-9.580000e-002	-2.215818e-009
-9.569999999999988e-002	-9.570000e-002	-2.215145e-009
-9.559999999999988e-002	-9.560000e-002	-2.214471e-009
-9.549999999999988e-002	-9.550000e-002	-2.213796e-009
-9.539999999999987e-002	-9.540000e-002	-2.213119e-009
-9.529999999999987e-002	-9.530000e-002	-2.212441e-009
-9.519999999999987e-002	-9.520000e-002	-2.211761e-009
-9.509999999999987e-002	-9.510000e-002	-2.211080e-009
-9.499999999999986e-002	-9.500000e-002	-2.210397e-009
-9.489999999999986e-002	-9.490000e-002	-2.209713e-009
-9.479999999999986e-002	-9.480000e-002	-2.209027e-009
-9.469999999999985e-002	-9.470000e-002	-2.208340e-009
-9.459999999999985e-002	-9.460000e-002	-2.207651e-009
-9.449999999999985e-002	-9.450000e-002	-2.206961e-009
-9.439999999999985e-002	-9.440000e-002	-2.206269e-009
-9.429999999999984e-002	-9.430000e-002	-2.205576e-009
-9.419999999999984e-002	-9.420000e-002	-2.204881e-009
-9.409999999999984e-002	-9.410000e-002	-2.204184e-009
-9.399999999999983e-002	-9.400000e-002	-2.203486e-009
-9.389999999999983e-002	-9.390000e-002	-2.202787e-009
-9.379999999999983e-002	-9.380000e-002	-2.202085e-009
-9.369999999999983e-002	-9.370000e-002	-2.201383e-009
-9.359999999999982e-002	-9.360000e-002	-2.200679e-009
-9.349999999999982e-002	-9.350000e-002	-2.199973e-009
-9.339999999999982e-002	-9.340000e-002	-2.199266e-009
-9.329999999999981e-002	-9.330000e-002	-2.198557e-009
-9.319999999999981e-002	-9.320000e-002	-2.197846e-009
-9.309999999999981e-002	-9.310000e-002	-2.197134e-009
-9.299999999999981e-002	-9.300000e-002	-2.196421e-009
-9.289999999999980e-002	-9.290000e-002	-2.195706e-009
-9.279999999999980e-002	-9.280000e-002	-2.194989e-009
-9.269999999999980e-002	-9.270000e-002	-2.194271e-009
-9.259999999999979e-002	-9.260000e-002	-2.193551e-009
-9.249999999999979e-002	-9.250000e-002	-2.192829e-009
-9.239999999999979e-002	-9.240000e-002	-2.192106e-009
-9.229999999999979e-002	-9.230000e-002	-2.191381e-009
-9.219999999999978e-002	-9.220000e-002	-2.190655e-009
-9.209999999999978e-002	-9.210000e-002	-2.189927e-009
-9.199999999999978e-002	-9.200000e-002	-2.189198e-009
-9.189999999999977e-002	-9.190000e-002	-2.188467e-009
-9.179999999999977e-002	-9.180000e-002	-2.187734e-009
-9.169999999999977e-002	-9.170000e-002	-2.186999e-009
-9.159999999999977e-002	-9.160000e-002	-2.186263e-009
-9.149999999999976e-002	-9.150000e-002	-2.185526e-009
-9.139999999999976e-002	-9.140000e-002	-2.184787e-009
-9.129999999999976e-002	-9.130000e-002	-2.184046e-009
-9.119999999999975e-002	-9.120000e-002	-2.183303e-009
-9.109999999999975e-002	-9.110000e-002	-2.182559e-009
-9.099999999999975e-002	-9.100000e-002	-2.181813e-009
-9.089999999999975e-002	-9.090000e-002	-2.181066e-009
-9.079999999999974e-002	-9.080000e-002	-2.180317e-009
-9.069999999999974e-002	-9.070000e-002	-2.179566e-009
-9.059999999999974e-002	-9.060000e-002	-2.178814e-009
-9.049999999999973e-002	-9.050000e-002	-2.178060e-009
-9.039999999999973e-002	-9.040000e-002	-2.177304e-009
-9.029999999999973e-002	-9.030000e-002	-2.176547e-009
-9.019999999999973e-002	-9.020000e-002	-2.175788e-009
-9.009999999999972e-002	-9.010000e-002	-2.175027e-009
-8.999999999999972e-002	-9.000000e-002	-2.174265e-009
-8.989999999999972e-002	-8.990000e-002	-2.173500e-009
-8.979999999999971e-002	-8.980000e-002	-2.172735e-009
-8.969999999999971e-002	-8.970000e-002	-2.171967e-009
-8.959999999999971e-002	-8.960000e-002	-2.171198e-009
-8.949999999999971e-002	-8.950000e-002	-2.170427e-009
-8.939999999999970e-002	-8.940000e-002	-2.169654e-009
-8.929999999999970e-002	-8.930000e-002	-2.168880e-009
