v1	I(R1)
-3.000000000000000e-003	1.422984e-004
-2.990000000000000e-003	1.422980e-004
-2.980000000000000e-003	1.422979e-004
-2.970000000000000e-003	1.422979e-004
-2.960000000000000e-003	1.422978e-004
-2.950000000000000e-003	1.422977e-004
-2.940000000000000e-003	1.422976e-004
-2.930000000000000e-003	1.422976e-004
-2.920000000000000e-003	1.422975e-004
-2.910000000000000e-003	1.422975e-004
-2.900000000000000e-003	1.422974e-004
-2.890000000000000e-003	1.422973e-004
-2.880000000000000e-003	1.422973e-004
-2.870000000000000e-003	1.422972e-004
-2.860000000000000e-003	1.422971e-004
-2.850000000000000e-003	1.422971e-004
-2.840000000000000e-003	1.422970e-004
-2.830000000000000e-003	1.422969e-004
-2.820000000000000e-003	1.422969e-004
-2.810000000000000e-003	1.422968e-004
-2.800000000000000e-003	1.422967e-004
-2.790000000000000e-003	1.422967e-004
-2.780000000000000e-003	1.422966e-004
-2.770000000000000e-003	1.422965e-004
-2.759999999999999e-003	1.422965e-004
-2.749999999999999e-003	1.422964e-004
-2.739999999999999e-003	1.422963e-004
-2.729999999999999e-003	1.422963e-004
-2.719999999999999e-003	1.422962e-004
-2.709999999999999e-003	1.422961e-004
-2.699999999999999e-003	1.422960e-004
-2.689999999999999e-003	1.422960e-004
-2.679999999999999e-003	1.422959e-004
-2.669999999999999e-003	1.422958e-004
-2.659999999999999e-003	1.422958e-004
-2.649999999999999e-003	1.422957e-004
-2.639999999999999e-003	1.422956e-004
-2.629999999999999e-003	1.422955e-004
-2.619999999999999e-003	1.422955e-004
-2.609999999999999e-003	1.422954e-004
-2.599999999999999e-003	1.422953e-004
-2.589999999999999e-003	1.422952e-004
-2.579999999999999e-003	1.422952e-004
-2.569999999999999e-003	1.422951e-004
-2.559999999999999e-003	1.422950e-004
-2.549999999999999e-003	1.422949e-004
-2.539999999999999e-003	1.422949e-004
-2.529999999999999e-003	1.422948e-004
-2.519999999999999e-003	1.422947e-004
-2.509999999999999e-003	1.422946e-004
-2.499999999999999e-003	1.422945e-004
-2.489999999999999e-003	1.422945e-004
-2.479999999999999e-003	1.422944e-004
-2.469999999999999e-003	1.422943e-004
-2.459999999999999e-003	1.422942e-004
-2.449999999999999e-003	1.422942e-004
-2.439999999999999e-003	1.422941e-004
-2.429999999999999e-003	1.422940e-004
-2.419999999999999e-003	1.422939e-004
-2.409999999999999e-003	1.422938e-004
-2.399999999999999e-003	1.422937e-004
-2.389999999999999e-003	1.422937e-004
-2.379999999999998e-003	1.422936e-004
-2.369999999999998e-003	1.422935e-004
-2.359999999999998e-003	1.422934e-004
-2.349999999999998e-003	1.422933e-004
-2.339999999999998e-003	1.422932e-004
-2.329999999999998e-003	1.422932e-004
-2.319999999999998e-003	1.422931e-004
-2.309999999999998e-003	1.422930e-004
-2.299999999999998e-003	1.422929e-004
-2.289999999999998e-003	1.422928e-004
-2.279999999999998e-003	1.422927e-004
-2.269999999999998e-003	1.422926e-004
-2.259999999999998e-003	1.422925e-004
-2.249999999999998e-003	1.422925e-004
-2.239999999999998e-003	1.422924e-004
-2.229999999999998e-003	1.422923e-004
-2.219999999999998e-003	1.422922e-004
-2.209999999999998e-003	1.422921e-004
-2.199999999999998e-003	1.422920e-004
-2.189999999999998e-003	1.422919e-004
-2.179999999999998e-003	1.422918e-004
-2.169999999999998e-003	1.422917e-004
-2.159999999999998e-003	1.422916e-004
-2.149999999999998e-003	1.422915e-004
-2.139999999999998e-003	1.422914e-004
-2.129999999999998e-003	1.422913e-004
-2.119999999999998e-003	1.422912e-004
-2.109999999999998e-003	1.422911e-004
-2.099999999999998e-003	1.422910e-004
-2.089999999999998e-003	1.422909e-004
-2.079999999999998e-003	1.422908e-004
-2.069999999999998e-003	1.422907e-004
-2.059999999999998e-003	1.422906e-004
-2.049999999999998e-003	1.422905e-004
-2.039999999999998e-003	1.422904e-004
-2.029999999999998e-003	1.422902e-004
-2.019999999999998e-003	1.422901e-004
-2.009999999999998e-003	1.422900e-004
-1.999999999999997e-003	1.422899e-004
-1.989999999999997e-003	1.422898e-004
-1.979999999999997e-003	1.422897e-004
-1.969999999999997e-003	1.422895e-004
-1.959999999999997e-003	1.422894e-004
-1.949999999999997e-003	1.422893e-004
-1.939999999999997e-003	1.422892e-004
-1.929999999999997e-003	1.422891e-004
-1.919999999999997e-003	1.422889e-004
-1.909999999999997e-003	1.422888e-004
-1.899999999999997e-003	1.422887e-004
-1.889999999999997e-003	1.422885e-004
-1.879999999999997e-003	1.422884e-004
-1.869999999999997e-003	1.422883e-004
-1.859999999999997e-003	1.422881e-004
-1.849999999999997e-003	1.422880e-004
-1.839999999999997e-003	1.422878e-004
-1.829999999999997e-003	1.422877e-004
-1.819999999999997e-003	1.422876e-004
-1.809999999999997e-003	1.422874e-004
-1.799999999999997e-003	1.422872e-004
-1.789999999999997e-003	1.422871e-004
-1.779999999999997e-003	1.422869e-004
-1.769999999999997e-003	1.422867e-004
-1.759999999999997e-003	1.422866e-004
-1.749999999999997e-003	1.422864e-004
-1.739999999999997e-003	1.422862e-004
-1.729999999999997e-003	1.422860e-004
-1.719999999999997e-003	1.422858e-004
-1.709999999999997e-003	1.422856e-004
-1.699999999999997e-003	1.422854e-004
-1.689999999999997e-003	1.422852e-004
-1.679999999999997e-003	1.422850e-004
-1.669999999999997e-003	1.422847e-004
-1.659999999999997e-003	1.422845e-004
-1.649999999999997e-003	1.422842e-004
-1.639999999999997e-003	1.422839e-004
-1.629999999999997e-003	1.422836e-004
-1.619999999999996e-003	1.422833e-004
-1.609999999999996e-003	1.422829e-004
-1.599999999999996e-003	1.422825e-004
-1.589999999999996e-003	1.422820e-004
-1.579999999999996e-003	1.422813e-004
-1.569999999999996e-003	1.416984e-004
-1.559999999999996e-003	1.407986e-004
-1.549999999999996e-003	1.398987e-004
-1.539999999999996e-003	1.389988e-004
-1.529999999999996e-003	1.380989e-004
-1.519999999999996e-003	1.371990e-004
-1.509999999999996e-003	1.362991e-004
