v1	V(n001)	V(n002)	Id(M1)
Step Information: V2=-500m  (Run: 1/51)
-5.000000000000000e-001	-5.000000e-001	-5.000000e-001	-2.615809e-006
-4.600000000000000e-001	-4.600000e-001	-5.000000e-001	-5.641640e-007
-4.200000000000000e-001	-4.200000e-001	-5.000000e-001	-1.215325e-007
-3.800000000000001e-001	-3.800000e-001	-5.000000e-001	-2.615578e-008
-3.400000000000001e-001	-3.400000e-001	-5.000000e-001	-5.623122e-009
-3.000000000000001e-001	-3.000000e-001	-5.000000e-001	-1.205194e-009
-2.600000000000001e-001	-2.600000e-001	-5.000000e-001	-2.532313e-010
-2.200000000000001e-001	-2.200000e-001	-5.000000e-001	-4.513779e-011
-1.800000000000001e-001	-1.800000e-001	-5.000000e-001	4.831430e-012
-1.400000000000001e-001	-1.400000e-001	-5.000000e-001	2.315015e-011
-1.000000000000001e-001	-1.000000e-001	-5.000000e-001	3.780069e-011
-6.000000000000009e-002	-6.000000e-002	-5.000000e-001	5.587970e-011
-2.000000000000009e-002	-2.000000e-002	-5.000000e-001	8.034558e-011
1.999999999999991e-002	2.000000e-002	-5.000000e-001	1.137129e-010
5.999999999999992e-002	6.000000e-002	-5.000000e-001	1.589758e-010
9.999999999999992e-002	1.000000e-001	-5.000000e-001	2.199688e-010
1.399999999999999e-001	1.400000e-001	-5.000000e-001	3.016544e-010
1.799999999999999e-001	1.800000e-001	-5.000000e-001	4.104501e-010
2.200000000000000e-001	2.200000e-001	-5.000000e-001	5.546377e-010
2.600000000000000e-001	2.600000e-001	-5.000000e-001	7.448806e-010
2.999999999999999e-001	3.000000e-001	-5.000000e-001	9.948774e-010
3.399999999999999e-001	3.400000e-001	-5.000000e-001	1.322191e-009
3.799999999999999e-001	3.800000e-001	-5.000000e-001	1.749297e-009
4.199999999999999e-001	4.200000e-001	-5.000000e-001	2.304902e-009
4.599999999999999e-001	4.600000e-001	-5.000000e-001	3.025617e-009
4.999999999999998e-001	5.000000e-001	-5.000000e-001	3.958056e-009
5.399999999999998e-001	5.400000e-001	-5.000000e-001	5.161483e-009
5.799999999999999e-001	5.800000e-001	-5.000000e-001	6.711140e-009
6.199999999999999e-001	6.200000e-001	-5.000000e-001	8.702432e-009
6.599999999999999e-001	6.600000e-001	-5.000000e-001	1.125618e-008
7.000000000000000e-001	7.000000e-001	-5.000000e-001	1.452520e-008
7.400000000000000e-001	7.400000e-001	-5.000000e-001	1.870260e-008
7.800000000000000e-001	7.800000e-001	-5.000000e-001	2.403212e-008
8.200000000000001e-001	8.200000e-001	-5.000000e-001	3.082140e-008
8.600000000000001e-001	8.600000e-001	-5.000000e-001	3.945967e-008
9.000000000000001e-001	9.000000e-001	-5.000000e-001	5.044485e-008
9.400000000000002e-001	9.400000e-001	-5.000000e-001	6.443178e-008
9.800000000000002e-001	9.800000e-001	-5.000000e-001	8.232831e-008
1.020000000000000e+000	1.020000e+000	-5.000000e-001	1.054870e-007
1.060000000000000e+000	1.060000e+000	-5.000000e-001	1.360683e-007
1.100000000000000e+000	1.100000e+000	-5.000000e-001	1.776777e-007
1.140000000000000e+000	1.140000e+000	-5.000000e-001	2.364004e-007
1.180000000000000e+000	1.180000e+000	-5.000000e-001	3.223622e-007
1.220000000000000e+000	1.220000e+000	-5.000000e-001	4.519370e-007
1.260000000000001e+000	1.260000e+000	-5.000000e-001	6.506912e-007
1.300000000000001e+000	1.300000e+000	-5.000000e-001	9.571165e-007
1.340000000000001e+000	1.340000e+000	-5.000000e-001	1.427154e-006
1.380000000000001e+000	1.380000e+000	-5.000000e-001	2.139459e-006
1.420000000000001e+000	1.420000e+000	-5.000000e-001	3.201319e-006
1.460000000000001e+000	1.460000e+000	-5.000000e-001	4.755099e-006
1.500000000000000e+000	1.500000e+000	-5.000000e-001	6.985046e-006
Step Information: V2=-460m  (Run: 2/51)
-5.000000000000000e-001	-5.000000e-001	-4.600000e-001	-2.814492e-006
-4.600000000000000e-001	-4.600000e-001	-4.600000e-001	-6.204392e-007
-4.200000000000000e-001	-4.200000e-001	-4.600000e-001	-1.364887e-007
-3.800000000000001e-001	-3.800000e-001	-4.600000e-001	-2.994887e-008
-3.400000000000001e-001	-3.400000e-001	-4.600000e-001	-6.554467e-009
-3.000000000000001e-001	-3.000000e-001	-4.600000e-001	-1.429790e-009
-2.600000000000001e-001	-2.600000e-001	-4.600000e-001	-3.084436e-010
-2.200000000000001e-001	-2.200000e-001	-4.600000e-001	-6.150429e-011
-1.800000000000001e-001	-1.800000e-001	-4.600000e-001	-4.134464e-012
-1.400000000000001e-001	-1.400000e-001	-4.600000e-001	1.362326e-011
-1.000000000000001e-001	-1.000000e-001	-4.600000e-001	2.506027e-011
-6.000000000000009e-002	-6.000000e-002	-4.600000e-001	3.824154e-011
-2.000000000000009e-002	-2.000000e-002	-4.600000e-001	5.600833e-011
1.999999999999991e-002	2.000000e-002	-4.600000e-001	8.040750e-011
5.999999999999992e-002	6.000000e-002	-4.600000e-001	1.137603e-010
9.999999999999992e-002	1.000000e-001	-4.600000e-001	1.590200e-010
1.399999999999999e-001	1.400000e-001	-4.600000e-001	2.200124e-010
1.799999999999999e-001	1.800000e-001	-4.600000e-001	3.016979e-010
2.200000000000000e-001	2.200000e-001	-4.600000e-001	4.104935e-010
2.600000000000000e-001	2.600000e-001	-4.600000e-001	5.546812e-010
2.999999999999999e-001	3.000000e-001	-4.600000e-001	7.449240e-010
3.399999999999999e-001	3.400000e-001	-4.600000e-001	9.949208e-010
3.799999999999999e-001	3.800000e-001	-4.600000e-001	1.322235e-009
4.199999999999999e-001	4.200000e-001	-4.600000e-001	1.749340e-009
4.599999999999999e-001	4.600000e-001	-4.600000e-001	2.304945e-009
4.999999999999998e-001	5.000000e-001	-4.600000e-001	3.025661e-009
5.399999999999998e-001	5.400000e-001	-4.600000e-001	3.958100e-009
5.799999999999999e-001	5.800000e-001	-4.600000e-001	5.161526e-009
6.199999999999999e-001	6.200000e-001	-4.600000e-001	6.711183e-009
6.599999999999999e-001	6.600000e-001	-4.600000e-001	8.702475e-009
7.000000000000000e-001	7.000000e-001	-4.600000e-001	1.125622e-008
7.400000000000000e-001	7.400000e-001	-4.600000e-001	1.452525e-008
7.800000000000000e-001	7.800000e-001	-4.600000e-001	1.870264e-008
8.200000000000001e-001	8.200000e-001	-4.600000e-001	2.403217e-008
8.600000000000001e-001	8.600000e-001	-4.600000e-001	3.082144e-008
9.000000000000001e-001	9.000000e-001	-4.600000e-001	3.945972e-008
9.400000000000002e-001	9.400000e-001	-4.600000e-001	5.044489e-008
9.800000000000002e-001	9.800000e-001	-4.600000e-001	6.443183e-008
1.020000000000000e+000	1.020000e+000	-4.600000e-001	8.232836e-008
1.060000000000000e+000	1.060000e+000	-4.600000e-001	1.054871e-007
1.100000000000000e+000	1.100000e+000	-4.600000e-001	1.360684e-007
1.140000000000000e+000	1.140000e+000	-4.600000e-001	1.776779e-007
1.180000000000000e+000	1.180000e+000	-4.600000e-001	2.364007e-007
1.220000000000000e+000	1.220000e+000	-4.600000e-001	3.223628e-007
1.260000000000001e+000	1.260000e+000	-4.600000e-001	4.519381e-007
1.300000000000001e+000	1.300000e+000	-4.600000e-001	6.506932e-007
1.340000000000001e+000	1.340000e+000	-4.600000e-001	9.571198e-007
1.380000000000001e+000	1.380000e+000	-4.600000e-001	1.427159e-006
1.420000000000001e+000	1.420000e+000	-4.600000e-001	2.139467e-006
1.460000000000001e+000	1.460000e+000	-4.600000e-001	3.201331e-006
1.500000000000000e+000	1.500000e+000	-4.600000e-001	4.755116e-006
Step Information: V2=-420m  (Run: 3/51)
-5.000000000000000e-001	-5.000000e-001	-4.200000e-001	-3.293759e-006
-4.600000000000000e-001	-4.600000e-001	-4.200000e-001	-7.637225e-007
-4.200000000000000e-001	-4.200000e-001	-4.200000e-001	-1.762924e-007
-3.800000000000001e-001	-3.800000e-001	-4.200000e-001	-4.037845e-008
-3.400000000000001e-001	-3.400000e-001	-4.200000e-001	-9.174913e-009
-3.000000000000001e-001	-3.000000e-001	-4.200000e-001	-2.069705e-009
-2.600000000000001e-001	-2.600000e-001	-4.200000e-001	-4.626891e-010
-2.200000000000001e-001	-2.200000e-001	-4.200000e-001	-1.000859e-010
-1.800000000000001e-001	-1.800000e-001	-4.200000e-001	-1.662981e-011
-1.400000000000001e-001	-1.400000e-001	-4.200000e-001	5.548806e-012
-1.000000000000001e-001	-1.000000e-001	-4.200000e-001	1.573827e-011
-6.000000000000009e-002	-6.000000e-002	-4.200000e-001	2.555055e-011
-2.000000000000009e-002	-2.000000e-002	-4.200000e-001	3.838759e-011
1.999999999999991e-002	2.000000e-002	-4.200000e-001	5.608038e-011
5.999999999999992e-002	6.000000e-002	-4.200000e-001	8.046274e-011
9.999999999999992e-002	1.000000e-001	-4.200000e-001	1.138117e-010
